3288	0	150	128	773	2	0
61872	257	10	22	26	9	4260354	0	1
61878	513	10	22	26	3	4260354	0	1
61884	514	10	22	26	7	4260354	0	1
63043	514	20	42	46	9	8519937	0	1
63049	258	20	42	46	1	8519937	0	1
63055	257	20	42	172	5	8519937	0	1
66026	257	10	22	26	9	4260354	0	1
66032	513	10	22	26	3	4260354	0	1
66038	514	10	22	26	7	4260354	0	1
67196	514	20	42	46	9	8519937	0	1
67202	258	20	42	46	1	8519937	0	1
67208	257	20	42	171	5	8519937	0	1
70214	257	10	22	26	9	4260354	0	1
70220	513	10	22	26	3	4260354	0	1
70226	514	10	22	26	7	4260354	0	1
71315	514	20	42	46	9	8519937	0	1
71321	258	20	42	46	1	8519937	0	1
71327	257	20	42	170	5	8519937	0	1
74332	257	10	22	26	9	4260354	0	1
74338	513	10	22	26	3	4260354	0	1
74344	514	10	22	26	7	4260354	0	1
75447	514	20	42	46	9	8519937	0	1
75453	258	20	42	46	1	8519937	0	1
75459	257	20	42	170	5	8519937	0	1
78464	257	10	22	26	9	4260354	0	1
78470	513	10	22	26	3	4260354	0	1
78476	514	10	22	26	7	4260354	0	1
79603	514	20	42	46	9	8519937	0	1
79609	258	20	42	46	1	8519937	0	1
79615	257	20	42	172	5	8519937	0	1
82622	257	10	22	26	9	4260354	0	1
82628	513	10	22	26	3	4260354	0	1
82634	514	10	22	26	7	4260354	0	1
83747	514	20	42	46	9	8519937	0	1
83753	258	20	42	46	1	8519937	0	1
83759	257	20	42	170	5	8519937	0	1
86764	257	10	22	26	9	4260354	0	1
86770	513	10	22	26	3	4260354	0	1
86776	514	10	22	26	7	4260354	0	1
87901	514	20	42	46	9	8519937	0	1
87907	258	20	42	46	1	8519937	0	1
87913	257	20	42	172	5	8519937	0	1
90920	257	10	22	26	9	4260354	0	1
90926	513	10	22	26	3	4260354	0	1
90932	514	10	22	26	7	4260354	0	1
92054	514	20	42	46	9	8519937	0	1
92060	258	20	42	46	1	8519937	0	1
92066	257	20	42	172	5	8519937	0	1
95073	257	10	22	26	9	4260354	0	1
95079	513	10	22	26	3	4260354	0	1
95085	514	10	22	26	7	4260354	0	1
96173	514	20	42	46	9	8519937	0	1
96179	258	20	42	46	1	8519937	0	1
96185	257	20	42	171	5	8519937	0	1
99191	257	10	22	26	9	4260354	0	1
99197	513	10	22	26	3	4260354	0	1
99203	514	10	22	26	7	4260354	0	1
100305	514	20	42	46	9	8519937	0	1
100311	258	20	42	46	1	8519937	0	1
100317	257	20	42	171	5	8519937	0	1
103428	257	10	22	26	9	4260354	0	1
103434	513	10	22	26	3	4260354	0	1
103440	514	10	22	26	7	4260354	0	1
104496	514	20	42	46	9	8519937	0	1
104502	258	20	42	46	1	8519937	0	1
104508	257	20	42	171	5	8519937	0	1
107619	257	10	22	26	9	4260354	0	1
107625	513	10	22	26	3	4260354	0	1
107631	514	10	22	26	7	4260354	0	1
108675	514	20	42	46	9	8519937	0	1
108681	258	20	42	46	1	8519937	0	1
108687	257	20	42	170	5	8519937	0	1
111797	257	10	22	26	9	4260354	0	1
111803	513	10	22	26	3	4260354	0	1
111809	514	10	22	26	7	4260354	0	1
112864	514	20	42	46	9	8519937	0	1
112870	258	20	42	46	1	8519937	0	1
112876	257	20	42	170	5	8519937	0	1
115986	257	10	22	26	9	4260354	0	1
115992	513	10	22	26	3	4260354	0	1
115998	514	10	22	26	7	4260354	0	1
117052	514	20	42	46	9	8519937	0	1
117058	258	20	42	46	1	8519937	0	1
117064	257	20	42	171	5	8519937	0	1
120175	257	10	22	26	9	4260354	0	1
120181	513	10	22	26	3	4260354	0	1
120187	514	10	22	26	7	4260354	0	1
121206	514	20	42	46	9	8519937	0	1
121212	258	20	42	46	1	8519937	0	1
121218	257	20	42	171	5	8519937	0	1
124329	257	10	22	26	9	4260354	0	1
124335	513	10	22	26	3	4260354	0	1
124341	514	10	22	26	7	4260354	0	1
125373	514	20	42	46	9	8519937	0	1
125379	258	20	42	46	1	8519937	0	1
125385	257	20	42	171	5	8519937	0	1
128496	257	10	22	26	9	4260354	0	1
128502	513	10	22	26	3	4260354	0	1
